PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT
1631222,Jake LaRavia,1610612747,LAL,25,18,7,24.4,3.8,0.6,1.5,0.405,0.4,0.7,0.5,1.6,0.421,1.6,0.421,0.4,0.105,0.3,0.084,0.4,0.095
1627751,Jakob Poeltl,1610612761,TOR,20,13,7,26.2,0.7,0.1,0.2,0.5,0.1,0.1,0.5,0.3,0.385,0.3,0.462,0,0,0.1,0.154,0.1,0.077
1628973,Jalen Brunson,1610612752,NYK,23,17,6,35.1,16,4.5,8.8,0.512,1.8,2.1,0.875,11.3,0.705,5.3,0.333,1.1,0.07,0.5,0.033,1,0.065
1631105,Jalen Duren,1610612765,DET,23,18,5,29,3.5,1.1,1.9,0.568,1.1,1.4,0.813,3.5,1.013,0.6,0.175,0,0.013,0.2,0.05,0.7,0.2
1630224,Jalen Green,1610612756,PHX,2,2,0,14.9,5,1.5,2.5,0.6,0,1,0,3.5,0.7,2,0.4,0.5,0.1,0,0,0.5,0.1
1630552,Jalen Johnson,1610612737,ATL,24,14,10,35.1,13.1,2.4,5.3,0.445,1.7,2.1,0.82,6.8,0.519,5.3,0.408,1.6,0.121,0.8,0.061,1.1,0.083
1629618,Jalen Pickett,1610612743,DEN,11,10,1,8.8,1.5,0.1,0.2,0.5,0,0,0,0.3,0.176,1.3,0.824,0.2,0.118,0.1,0.059,0,0
1630188,Jalen Smith,1610612741,CHI,20,10,10,16.8,1.2,0.4,0.8,0.533,0,0,0,0.8,0.667,0.3,0.25,0.1,0.042,0.2,0.125,0,0
1630591,Jalen Suggs,1610612753,ORL,21,13,8,25.6,7,1.7,2.9,0.59,1,1.2,0.846,4.5,0.639,2.8,0.395,0.3,0.048,0.6,0.088,0.6,0.088
1631114,Jalen Williams,1610612760,OKC,7,6,1,28.7,15,4,8,0.5,1.4,1.4,1,9.4,0.629,4.9,0.324,1.4,0.095,0.9,0.057,0.7,0.048
1630592,Jalen Wilson,1610612751,BKN,19,4,15,14,2.6,0.5,1.1,0.429,0.5,0.5,0.9,1.5,0.571,0.9,0.367,0,0,0.2,0.061,0.3,0.102
1631288,Jamal Cain,1610612753,ORL,5,4,1,6.3,1,0.4,0.4,1,0.2,0.4,0.5,1,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
1627750,Jamal Murray,1610612743,DEN,24,18,6,35,12.3,3.4,6.3,0.539,1,1.2,0.857,8.2,0.666,4.6,0.372,1.5,0.118,0.6,0.051,0.6,0.047
1642347,Jamal Shead,1610612761,TOR,27,16,11,20,5.9,0.6,1.7,0.356,0.6,0.8,0.727,1.8,0.308,3.4,0.572,1.1,0.195,0.4,0.069,0.4,0.069
1631123,Jamaree Bouyea,1610612756,PHX,10,4,6,14.1,3.8,1.2,1.9,0.632,0.2,0.2,1,2.6,0.684,1.6,0.421,0.5,0.132,0.1,0.026,0.1,0.026
201935,James Harden,1610612746,LAC,25,6,19,35.4,14.3,2.7,5.8,0.469,3,3.5,0.841,8.6,0.605,5.5,0.387,1.5,0.104,0.8,0.059,1.8,0.123
1630164,James Wiseman,1610612754,IND,1,0,1,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1642364,Jamir Watkins,1610612764,WAS,9,2,7,12.4,0.4,0.1,0.1,1,0.2,0.2,1,0.4,1,0.2,0.5,0,0,0,0,0.1,0.25
1642419,Jamison Battle,1610612761,TOR,17,11,6,8.1,0.4,0.1,0.2,0.667,0,0,0,0.2,0.571,0.2,0.571,0,0,0,0,0,0
1641716,Jarace Walker,1610612754,IND,26,6,20,25.6,6.2,1.2,3.1,0.375,1.1,1.4,0.806,3.5,0.571,1.8,0.292,0.3,0.056,0.5,0.075,0.7,0.112
1642272,Jared McCain,1610612755,PHI,16,8,8,17.8,5.3,0.8,2.4,0.342,0.3,0.4,0.833,1.9,0.365,2.4,0.447,0.4,0.082,0.2,0.035,0.2,0.035
1628991,Jaren Jackson Jr.,1610612763,MEM,24,10,14,29.4,6.9,2.6,4.6,0.559,0.8,1.1,0.667,6.2,0.892,1,0.139,0.3,0.036,0.6,0.09,0.6,0.084
1629020,Jarred Vanderbilt,1610612747,LAL,16,12,4,17.2,1.3,0.2,0.4,0.5,0.1,0.1,1,0.6,0.45,0.5,0.4,0.1,0.05,0.2,0.15,0.1,0.05
1628386,Jarrett Allen,1610612739,CLE,16,9,7,25.9,1.9,0.8,1.3,0.571,0.2,0.3,0.75,1.8,0.903,0.3,0.129,0.1,0.032,0.2,0.097,0.1,0.065
1642859,Jase Richardson,1610612753,ORL,15,7,8,6.7,1.7,0.5,0.9,0.571,0.2,0.4,0.5,1.3,0.769,0.5,0.308,0.2,0.115,0,0,0.2,0.115
1642914,Javon Small,1610612763,MEM,8,4,4,12.4,2.3,0.1,0.8,0.167,0,0,0,0.3,0.111,1.1,0.5,0.3,0.111,0.3,0.111,0,0
1631451,Javonte Cooke,1610612757,POR,5,1,4,6.1,1,0,0.4,0,0,0,0,0,0,0.6,0.6,0.2,0.2,0,0,0,0
1629750,Javonte Green,1610612765,DET,25,20,5,18.8,1.1,0.2,0.6,0.313,0.2,0.2,0.667,0.6,0.536,0.2,0.214,0,0,0.1,0.071,0.1,0.107
1629637,Jaxson Hayes,1610612747,LAL,22,16,6,16.9,0.4,0.1,0.2,0.6,0.1,0.2,0.5,0.4,0.889,0,0.111,0,0.111,0,0,0.1,0.222
1630643,Jay Huff,1610612754,IND,26,6,20,19.4,1.5,0.4,0.7,0.611,0.1,0.1,1,1,0.625,0.5,0.35,0,0.025,0.2,0.1,0,0.025
1627759,Jaylen Brown,1610612738,BOS,25,14,11,33.7,16.8,4.7,8.3,0.565,2.5,3.3,0.756,12.3,0.729,5.1,0.302,1.4,0.086,1,0.059,1.6,0.097
1641740,Jaylen Clark,1610612750,MIN,24,17,7,15,1,0.2,0.5,0.364,0.3,0.5,0.583,0.7,0.708,0.2,0.167,0,0,0.1,0.083,0.3,0.25
1642377,Jaylen Wells,1610612763,MEM,26,12,14,26.8,5,1,2.1,0.491,0.8,1.1,0.714,2.9,0.581,1.7,0.341,0.5,0.101,0.3,0.07,0.5,0.109
1631119,Jaylin Williams,1610612760,OKC,25,23,2,18.3,1.1,0.2,0.2,0.667,0.1,0.2,0.75,0.5,0.464,0.6,0.536,0.2,0.179,0.2,0.179,0.1,0.071
1642281,Jaylon Tyson,1610612739,CLE,22,12,10,28.2,1.7,0.3,0.5,0.636,0,0,0,0.6,0.378,1.1,0.676,0.3,0.162,0,0.027,0,0
201145,Jeff Green,1610612745,HOU,10,9,1,4.8,0.1,0.1,0.1,1,0,0,0,0.2,2,0,0,0,0,0,0,0,0
203924,Jerami Grant,1610612757,POR,25,10,15,29.9,10.4,1.9,4.6,0.417,1.8,2.4,0.767,6.1,0.586,3.3,0.318,0.5,0.05,0.9,0.088,1.4,0.13
