GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SUM_TIME_PLAYED
Lineups,-1627742-1627751-1629628-1630193-1630567-,B. Ingram - J. Poeltl - R. Barrett - I. Quickley - S. Barnes,1610612761,TOR,14,10,4,0.714,182.68,181,349,0.519,41,109,0.376,78,102,0.765,43,110,153,122,50,39,19,30,74,85,481,16,79,39,13171,4835,15,12,15,4095,26,25,4447,11,8,4325,16,19,21,14,13727,11,15,13740,13731,10,13,222,548040
Lineups,-203994-1628374-1629004-1641718-1642846-,J. Nurkić - L. Markkanen - S. Mykhailiuk - K. George - A. Bailey,1610612762,UTA,18,7,11,0.389,178.818333,166,376,0.441,54,165,0.327,53,65,0.815,50,136,186,123,58,36,8,15,77,67,439,-35,32,139,13730,7251,16,16,11,6772,15,10,5646,22,28,3952,10,12,11,12,13731,13,81,13725,13733,20,16,13736,536455
Lineups,-203507-1626167-1629645-1631157-1631260-,G. Antetokounmpo - M. Turner - K. Porter Jr. - R. Rollins - A. Green,1610612749,MIL,13,8,5,0.615,173.488333,156,313,0.498,53,132,0.402,74,99,0.747,36,122,158,98,51,28,16,18,68,80,439,44,100,91,13413,5490,17,17,18,6035,16,18,4026,13,10,4825,22,15,16,18,13728,17,24,13733,13726,13,16,18,520465
Lineups,-203999-1627750-1629661-1631212-1642461-,N. Jokić - J. Murray - C. Johnson - P. Watson - S. Jones,1610612743,DEN,13,9,4,0.692,171.12,182,315,0.578,66,136,0.485,54,72,0.75,37,117,154,123,48,26,13,13,70,68,484,63,100,61,13171,4895,18,11,17,3285,10,16,3599,21,18,4340,21,18,20,12,13725,22,36,13706,13729,19,12,6,513360
Lineups,-203507-1626167-1629018-1631157-1631260-,G. Antetokounmpo - M. Turner - G. Trent Jr. - R. Rollins - A. Green,1610612749,MIL,17,9,8,0.529,169.073333,144,285,0.505,55,129,0.426,58,92,0.63,30,107,137,87,56,19,23,14,95,81,401,-34,39,61,13678,5712,19,20,23,4180,14,20,3944,18,13,5500,30,21,23,23,13730,43,8,13715,13736,12,19,13734,507220
Lineups,-203932-203999-1627750-1629661-1631128-,A. Gordon - N. Jokić - J. Murray - C. Johnson - C. Braun,1610612743,DEN,10,8,2,0.8,159.431667,148,296,0.5,30,110,0.273,72,84,0.857,38,119,157,96,44,28,11,13,57,72,398,42,213,91,11030,4545,20,19,21,4193,50,23,5927,15,16,3565,20,17,18,19,13724,17,49,13706,13720,17,20,20,478295
Lineups,-201142-1630578-1631095-1631106-1641708-,K. Durant - A. Sengun - J. Smith Jr. - T. Eason - A. Thompson,1610612745,HOU,19,12,7,0.632,152.536667,142,297,0.478,35,89,0.393,52,68,0.765,49,109,158,91,38,27,18,24,56,48,371,29,28,20,13630,5454,21,21,20,6191,38,40,4365,27,24,4325,11,20,16,20,13717,20,18,13738,13719,36,22,46,457610
Lineups,-201950-1630166-1631101-1641739-1642270-,J. Holiday - D. Avdija - S. Sharpe - T. Camara - D. Clingan,1610612757,POR,16,7,9,0.438,150.035,139,303,0.459,49,144,0.34,51,64,0.797,56,105,161,87,62,24,14,16,57,67,378,-10,47,139,13708,7114,22,22,19,6444,18,14,4702,30,30,4190,8,22,15,23,13733,31,31,13727,13720,20,21,13136,450105
Lineups,-202331-203954-1630178-1631230-1642845-,P. George - J. Embiid - T. Maxey - D. Barlow - V. Edgecombe,1610612755,PHI,13,7,6,0.538,144.07,137,272,0.504,38,102,0.373,50,59,0.847,35,84,119,86,34,32,12,13,46,48,362,23,100,139,13557,5703,23,23,25,4185,29,26,4559,36,39,3675,23,31,27,26,13706,15,41,13706,13709,36,23,92,432210
Lineups,-203952-1626181-1628389-1630558-1642276-,A. Wiggins - N. Powell - B. Adebayo - D. Mitchell - K. Ware,1610612748,MIA,14,8,6,0.571,140.978333,128,290,0.441,51,112,0.455,46,60,0.767,44,102,146,91,42,25,14,12,52,53,353,-1,79,91,13557,5634,24,25,22,6773,17,22,3663,42,36,4324,15,23,22,20,13720,27,31,13696,13715,27,24,7472,422935
