PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,NICKNAME,Restricted_Area_FGM,Restricted_Area_FGA,Restricted_Area_FG_PCT,In_The_Paint_Non_RA_FGM,In_The_Paint_Non_RA_FGA,In_The_Paint_Non_RA_FG_PCT,Mid_Range_FGM,Mid_Range_FGA,Mid_Range_FG_PCT,Left_Corner_3_FGM,Left_Corner_3_FGA,Left_Corner_3_FG_PCT,Right_Corner_3_FGM,Right_Corner_3_FGA,Right_Corner_3_FG_PCT,Above_the_Break_3_FGM,Above_the_Break_3_FGA,Above_the_Break_3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT,Corner_3_FGM,Corner_3_FGA,Corner_3_FG_PCT
203994,Jusuf Nurkić,1610612762,UTA,31,Jusuf,77,132,0.583,74,140,0.529,4,15,0.267,2,4,0.5,0,0,0,23,67,0.343,0,0,0,2,4,0.5
1642354,KJ Simpson,1610612766,CHA,23,KJ,11,24,0.458,7,20,0.35,1,6,0.167,1,3,0.333,2,3,0.667,9,33,0.273,0,0,0,3,6,0.5
1642955,Kadary Richmond,1610612764,WAS,24,Kadary,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
1642880,Kam Jones,1610612754,IND,23,Kam,9,10,0.9,8,21,0.381,2,2,1,0,5,0,0,3,0,5,17,0.294,0,0,0,0,8,0
1626157,Karl-Anthony Towns,1610612752,NYK,30,Karl-Anthony,197,329,0.599,47,115,0.409,9,42,0.214,3,6,0.5,2,4,0.5,75,218,0.344,0,0,0,5,10,0.5
1631255,Karlo Matković,1610612740,NOP,24,Karlo,62,76,0.816,3,16,0.188,0,1,0,6,14,0.429,7,11,0.636,10,28,0.357,0,0,0,13,25,0.52
1642857,Kasparas Jakučionis,1610612748,MIA,19,Kasparas,11,27,0.407,3,13,0.231,0,6,0,10,22,0.455,8,10,0.8,19,50,0.38,0,0,0,18,32,0.563
202695,Kawhi Leonard,1610612746,LAC,34,Kawhi,85,111,0.766,124,241,0.515,78,168,0.464,10,19,0.526,2,14,0.143,98,255,0.384,0,0,0,12,33,0.364
1630811,Keaton Wallace,1610612737,ATL,26,Keaton,3,6,0.5,14,31,0.452,6,15,0.4,1,2,0.5,3,6,0.5,30,76,0.395,0,0,0,4,8,0.5
1631099,Keegan Murray,1610612758,SAC,25,Keegan,26,35,0.743,46,88,0.523,14,44,0.318,3,10,0.3,1,8,0.125,21,74,0.284,0,0,0,4,18,0.222
1642276,Kel'el Ware,1610612748,MIA,21,Kel'el,154,222,0.694,21,63,0.333,1,10,0.1,11,24,0.458,12,27,0.444,37,98,0.378,0,0,0,23,51,0.451
1629640,Keldon Johnson,1610612759,SAS,26,Keldon,147,214,0.687,59,113,0.522,6,7,0.857,18,43,0.419,16,51,0.314,31,77,0.403,0,0,0,34,94,0.362
