PLAYER_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,AGE,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1628368,De'Aaron Fox,1610612759,SAS,28,59,59,1,415,850,0.488,0.552,0.622,306,529,0.578,0.378,109,321,0.34
1630166,Deni Avdija,1610612757,POR,25,53,52,1,390,848,0.46,0.523,0.617,283,523,0.541,0.383,107,325,0.329
1641705,Victor Wembanyama,1610612759,SAS,22,53,53,1,428,847,0.505,0.565,0.668,327,566,0.578,0.332,101,281,0.359
1631101,Shaedon Sharpe,1610612757,POR,22,48,48,1,386,847,0.456,0.515,0.649,285,550,0.518,0.351,101,297,0.34
1630193,Immanuel Quickley,1610612761,TOR,26,64,63,1,374,845,0.443,0.541,0.475,208,401,0.519,0.525,166,444,0.374
1641708,Amen Thompson,1610612745,HOU,23,65,65,1,436,840,0.519,0.532,0.879,414,738,0.561,0.121,22,102,0.216
1628969,Mikal Bridges,1610612752,NYK,29,69,69,1,410,840,0.488,0.568,0.569,275,478,0.575,0.431,135,362,0.373
201566,Russell Westbrook,1610612758,SAC,37,62,62,1,352,823,0.428,0.504,0.55,226,453,0.499,0.45,126,370,0.341
1641824,Matas Buzelis,1610612741,CHI,21,67,67,1,385,821,0.469,0.56,0.495,235,406,0.579,0.505,150,415,0.361
1642845,VJ Edgecombe,1610612755,PHI,20,61,61,1,347,816,0.425,0.499,0.577,227,471,0.482,0.423,120,345,0.348
1630180,Saddiq Bey,1610612740,NOP,26,62,62,1,365,815,0.448,0.52,0.573,247,467,0.529,0.427,118,348,0.339
1626181,Norman Powell,1610612748,MIA,32,51,51,1,381,808,0.472,0.559,0.548,240,443,0.542,0.452,141,365,0.386
1628374,Lauri Markkanen,1610612762,UTA,28,42,42,1,384,805,0.477,0.548,0.598,269,481,0.559,0.402,115,324,0.355
1642847,Jeremiah Fears,1610612740,NOP,19,69,69,1,342,802,0.426,0.476,0.706,262,566,0.463,0.294,80,236,0.339
1631095,Jabari Smith Jr.,1610612745,HOU,22,63,63,1,354,771,0.459,0.549,0.51,216,393,0.55,0.49,138,378,0.365
202696,Nikola Vučević,1610612738,BOS,35,60,59,1,382,770,0.496,0.558,0.669,287,515,0.557,0.331,95,255,0.373
1631170,Jaime Jaquez Jr.,1610612748,MIA,25,64,64,1,383,765,0.501,0.525,0.824,345,630,0.548,0.176,38,135,0.281
1642263,Reed Sheppard,1610612745,HOU,21,67,67,1,318,751,0.423,0.537,0.409,147,307,0.479,0.591,171,444,0.385
1630168,Onyeka Okongwu,1610612737,ATL,25,62,62,1,363,749,0.485,0.569,0.559,237,419,0.566,0.441,126,330,0.382
201939,Stephen Curry,1610612744,GSW,38,39,39,1,348,744,0.468,0.585,0.398,173,296,0.584,0.602,175,448,0.391
2544,LeBron James,1610612747,LAL,41,47,47,1,375,741,0.506,0.55,0.718,310,532,0.583,0.282,65,209,0.311
1641739,Toumani Camara,1610612757,POR,25,69,69,1,314,736,0.427,0.542,0.34,144,250,0.576,0.66,170,486,0.35
1629675,Naz Reid,1610612750,MIN,26,67,66,1,345,735,0.469,0.569,0.471,199,346,0.575,0.529,146,389,0.375
1641710,Anthony Black,1610612753,ORL,22,60,59,1,331,731,0.453,0.518,0.613,235,448,0.525,0.387,96,283,0.339
203952,Andrew Wiggins,1610612748,MIA,31,57,57,1,342,721,0.474,0.553,0.607,229,438,0.523,0.393,113,283,0.399
1628991,Jaren Jackson Jr.,1610612762,UTA,26,48,48,1,338,713,0.474,0.533,0.672,254,479,0.53,0.328,84,234,0.359
