PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
1631108,117,Max Christie,1610612742,DAL,29,28.2,3.8,8,0.476,2.3,5.2,0.453,1.4,1.7,0.84,0.2,3,3.2,1.9,0.5,0.4,1,11.4,11.9
1630541,118,Moses Moody,1610612744,GSW,27,24.7,3.6,8.9,0.404,2.3,6,0.377,1.6,2,0.83,0.9,2.4,3.3,1.6,1,0.7,1.1,11.1,10.9
1642848,119,Tre Johnson,1610612764,WAS,19,23.2,4.1,9.4,0.43,1.9,5,0.389,1,1.2,0.826,0.5,2.5,3,1.4,0.5,0.4,1.5,11.1,9.2
1631260,120,AJ Green,1610612749,MIL,25,28.8,3.5,7.2,0.486,3.2,6.6,0.485,0.8,1,0.792,0,2.7,2.8,2.1,0.6,0.1,0.8,11,11.8
1642258,121,Zaccharie Risacher,1610612737,ATL,26,24.7,4.3,9.6,0.454,1.3,4.3,0.313,0.9,1.3,0.706,0.8,2,2.8,1.6,1.1,0.5,0.8,11,10.6
1630577,122,Julian Champagnie,1610612759,SAS,27,28.2,3.5,8.2,0.423,2.3,6.2,0.377,1.6,1.9,0.843,0.9,4.6,5.5,1.6,1,0.4,1,10.9,13.4
1630314,123,Brandon Williams,1610612742,DAL,26,22.2,3.7,9.3,0.402,0.5,2.8,0.192,2.8,3.5,0.804,0.5,2,2.5,4.1,1.3,0.3,2,10.8,10.8
1629111,124,Jock Landale,1610612763,MEM,28,22.2,4.2,8.2,0.515,1.1,2.7,0.413,1.3,1.9,0.679,2.5,3.2,5.7,1.6,0.6,0.5,1,10.8,13.6
202691,125,Klay Thompson,1610612742,DAL,27,21.5,3.8,10.4,0.367,2.7,7.6,0.35,0.5,0.7,0.778,0.3,2.2,2.4,1.3,0.3,0.3,0.9,10.8,7.6
1630572,126,Sandro Mamukelashvili,1610612761,TOR,28,20.5,4,7.5,0.531,1.3,3.1,0.398,1.4,1.8,0.78,1.4,3.1,4.5,1.6,0.6,0.5,0.9,10.6,13.1
1631212,127,Peyton Watson,1610612743,DEN,25,26.2,3.9,7.8,0.503,1.1,2.8,0.391,1.6,2.2,0.714,1.2,3.6,4.8,1.6,0.9,1.1,1.2,10.5,13.2
1642846,128,Ace Bailey,1610612762,UTA,27,24.1,4.1,9.4,0.441,1.5,4.3,0.353,0.7,1,0.679,1.4,1.9,3.3,1.7,0.7,0.4,1.3,10.5,9.7
1626156,129,D'Angelo Russell,1610612742,DAL,23,19.5,3.7,9.1,0.402,1.3,4.5,0.282,1.9,2.6,0.717,0.3,2.1,2.5,4,0.5,0.1,2,10.4,9.3
1626220,130,Royce O'Neale,1610612756,PHX,28,29.6,3.6,8.6,0.419,2.8,7,0.405,0.3,0.4,0.667,0.8,4.4,5.2,2.8,1.3,0.2,1.6,10.3,13.2
1630191,131,Isaiah Stewart,1610612765,DET,25,22.9,3.8,7.2,0.533,1,2.4,0.393,1.6,2.2,0.732,2,4.2,6.2,1.2,0.2,1.9,1.2,10.3,14.6
1642270,132,Donovan Clingan,1610612757,POR,24,25.7,3.9,7.8,0.503,0.7,2.7,0.266,1.7,2.5,0.683,4.5,5.8,10.3,1.8,0.6,1.5,0.9,10.3,18.9
1629674,133,Neemias Queta,1610612738,BOS,26,24.6,4.4,6.7,0.665,0,0.1,0,1.2,2,0.604,3.1,4.8,7.9,1.6,0.7,1.3,0.8,10.1,17.7
1628963,134,Marvin Bagley III,1610612764,WAS,22,19.4,4.1,6.7,0.619,0.3,0.5,0.5,1.5,2.2,0.653,2.7,2.9,5.6,1.6,0.5,0.7,1.1,10,14
1642875,135,Maxime Raynaud,1610612758,SAC,20,20,4,7.6,0.523,0.3,0.9,0.353,1.8,2.3,0.761,1.6,3.8,5.4,1,0.5,0.5,1.1,10,12
1629018,136,Gary Trent Jr.,1610612749,MIL,28,27.9,3.4,8.6,0.396,2.2,6,0.371,0.9,1.1,0.806,0.1,1.2,1.3,1.7,0.9,0.1,0.8,9.9,7.7
203903,137,Jordan Clarkson,1610612752,NYK,27,20,3.7,8.4,0.439,1.3,4,0.312,1.2,1.6,0.767,0.9,1.1,2,1.6,0.4,0.2,1.2,9.9,7.7
1630558,138,Davion Mitchell,1610612748,MIA,26,30.4,4,7.9,0.505,1,2.7,0.377,0.9,1.4,0.639,0.4,2.3,2.7,7.7,1.3,0.1,1.5,9.9,15.7
1630249,139,Vít Krejčí,1610612737,ATL,25,23.6,3.4,6.8,0.497,2.4,5.4,0.452,0.6,0.8,0.762,0.4,2,2.4,1.7,0.8,0.3,0.8,9.9,10.5
1630529,140,Herbert Jones,1610612740,NOP,21,28.3,3.6,8.9,0.401,1.4,4.2,0.341,1.2,1.5,0.813,1,2.7,3.8,2.3,1.7,0.3,1.3,9.8,11
1641783,141,Tristan da Silva,1610612753,ORL,26,23.2,3.6,8.2,0.439,1.6,4.4,0.365,0.8,1,0.815,0.8,3.1,3.9,1.2,0.8,0.2,1,9.7,10
1642271,142,Kyle Filipowski,1610612762,UTA,26,23.2,3.5,7.4,0.472,0.9,2.8,0.319,1.8,2.5,0.719,1.7,4.8,6.5,2.2,0.5,0.5,1.2,9.7,13.6
1631323,143,Simone Fontecchio,1610612748,MIA,27,19.5,3.1,7.9,0.394,2.1,5.6,0.371,1.3,1.5,0.829,0.4,2.5,3,1.7,0.4,0.2,1,9.6,8.8
1629004,144,Svi Mykhailiuk,1610612762,UTA,26,25.8,3.6,7.3,0.489,2,5,0.403,0.3,0.4,0.9,0.7,1.9,2.6,2,0.5,0.1,0.9,9.5,10.1
1641716,145,Jarace Walker,1610612754,IND,28,25.1,3.1,8.9,0.344,1.4,4.6,0.308,1.9,2.3,0.8,0.5,4.3,4.8,2,0.6,0.4,1.9,9.4,9.1
1641715,146,Cam Whitmore,1610612764,WAS,21,16.9,3.7,8,0.456,0.8,2.7,0.286,1.1,1.5,0.742,0.9,1.9,2.8,0.7,0.7,0.4,0.9,9.2,8.1
1627747,147,Caris LeVert,1610612765,DET,22,20.6,3.1,6.9,0.457,1.3,3.3,0.397,1.5,2.2,0.653,0.3,1.4,1.7,2.9,0.8,0.5,1.4,9,9
1630188,147,Jalen Smith,1610612741,CHI,22,16.7,3.4,7.1,0.478,1.4,3.8,0.357,0.9,1.1,0.76,1.9,3.9,5.7,1.1,0.3,0.7,1,9,11.9
1630533,149,Ziaire Williams,1610612751,BKN,23,22.8,3,7.3,0.402,1.6,5.3,0.303,1.5,1.8,0.829,0.7,2,2.7,0.7,0.8,0.5,1,9,8
1641729,150,Brice Sensabaugh,1610612762,UTA,26,16.3,3,7.2,0.419,1.5,4.4,0.342,1.4,1.6,0.878,0.6,1.9,2.5,1.2,0.6,0.2,0.8,8.9,8.3
1642856,151,Egor Dëmin,1610612751,BKN,24,23.1,3.1,8.2,0.378,1.9,5.5,0.344,0.7,0.8,0.842,0.5,2.6,3.1,3.4,0.9,0.3,1.7,8.7,9.5
1641796,151,Pelle Larsson,1610612748,MIA,24,21.9,3,6.7,0.444,1,3.1,0.338,1.8,2.3,0.778,0.5,2,2.5,3.2,0.5,0.2,1,8.7,9.9
1641750,153,Ryan Kalkbrenner,1610612766,CHA,26,25.6,3.7,4.7,0.787,0,0.1,0,1.3,1.8,0.723,2.6,3.8,6.4,0.6,0.7,1.8,1.2,8.7,15.6
1631222,154,Jake LaRavia,1610612747,LAL,27,25,3.2,7,0.455,0.9,3,0.305,1.4,2,0.698,1.4,2.8,4.2,2,1.2,0.3,1,8.7,11
1630692,155,Jordan Goodwin,1610612756,PHX,25,21,3.4,8.1,0.419,1.4,3.9,0.357,0.4,0.6,0.688,1.8,2.3,4.1,2,1.5,0.2,1.2,8.6,10.3
1629611,156,Terance Mann,1610612751,BKN,24,26.3,3.1,6.9,0.455,1,2.8,0.353,1.3,1.6,0.842,1.5,2,3.5,3.6,0.8,0.2,1,8.6,11.7
202685,157,Jonas Valančiūnas,1610612743,DEN,27,12.9,3.6,6,0.593,0.1,0.4,0.273,1.3,1.8,0.735,1.3,3.1,4.5,1.2,0.2,0.6,1.1,8.6,11
1642268,158,Isaiah Collier,1610612762,UTA,19,22,2.8,5.7,0.5,0.4,1,0.368,2.5,3.5,0.701,0.2,1.8,2.1,6.1,0.5,0.3,2.1,8.5,11.5
203994,159,Jusuf Nurkić,1610612762,UTA,25,24.4,3.4,7.4,0.467,0.3,1.4,0.229,1.3,2.6,0.485,2.5,6.9,9.4,4,1.4,0.4,2.5,8.5,16
1642267,160,Bub Carrington,1610612764,WAS,26,27.3,2.9,7.8,0.374,1.7,4.2,0.404,0.9,1.3,0.727,0.3,3.3,3.7,4.3,0.5,0.1,2.2,8.5,9.7
1642954,161,Will Richard,1610612744,GSW,24,19.1,3,5.4,0.55,1.4,3.2,0.429,1.2,1.5,0.8,1.1,1.7,2.8,1,1,0,0.7,8.5,9.9
1630631,162,Jose Alvarado,1610612740,NOP,28,22.6,3.1,7.1,0.43,1.7,4.5,0.37,0.6,0.8,0.81,0.4,2.4,2.8,3.3,1,0.1,1.3,8.4,10.2
1641842,163,Ronald Holland II,1610612765,DET,28,21,3,7.5,0.405,0.7,2.7,0.25,1.6,2,0.804,0.9,2.8,3.8,1.5,1.5,0.2,1.3,8.4,9.1
1630171,164,Isaac Okoro,1610612741,CHI,19,24.9,3.2,6.8,0.473,1.1,3.1,0.345,0.8,1.1,0.762,1.2,1.4,2.6,1.4,0.5,0.6,0.8,8.3,8.8
1627739,165,Kris Dunn,1610612746,LAC,28,26.7,3.2,6.4,0.5,1.1,2.9,0.388,0.8,1.1,0.742,0.8,2,2.9,3,1.5,0.2,1.4,8.3,10.9
1628988,166,Aaron Holiday,1610612745,HOU,20,16,2.6,5.8,0.448,1.8,4,0.443,1.3,1.5,0.862,0.2,1,1.1,1.1,0.4,0.2,1,8.2,6.6
1631213,167,Tyrese Martin,1610612751,BKN,25,20.8,3,7.8,0.39,1.4,4.5,0.321,0.6,0.9,0.727,1,2.2,3.2,2.4,0.7,0.1,1,8.2,8.6
1630643,168,Jay Huff,1610612754,IND,28,19.4,2.8,6.6,0.422,1.4,4.6,0.305,1.1,1.4,0.816,1.1,2.9,4,1.3,0.3,2.5,0.7,8.1,11.3
203110,169,Draymond Green,1610612744,GSW,23,27.4,3,7.4,0.398,1.5,4.5,0.33,0.7,1,0.652,0.8,5.2,6,5.2,0.9,0.9,3.2,8,13.1
1641717,170,Cason Wallace,1610612760,OKC,27,27.7,3,7.1,0.425,1.4,4,0.358,0.5,0.6,0.824,0.7,2.3,3,2.4,2.4,0.2,1,8,10.8
1631217,171,Moussa Diabaté,1610612766,CHA,27,21.7,3,4.8,0.62,0,0,0,2,2.9,0.679,3.3,4,7.3,1.1,0.6,1,0.7,7.9,14.5
1627741,172,Buddy Hield,1610612744,GSW,28,18.5,2.9,7,0.413,1.5,4.6,0.32,0.6,0.6,0.944,0.7,1.8,2.5,1.6,0.8,0.1,1.1,7.9,7.5
1642366,173,Quinten Post,1610612744,GSW,29,18.7,2.9,6.9,0.422,1.6,4.6,0.338,0.5,0.6,0.778,1,3.2,4.2,1.5,0.6,0.6,0.8,7.8,9.8
203484,174,Kentavious Caldwell-Pope,1610612763,MEM,28,22.3,2.6,6.8,0.377,1.1,3.4,0.333,1.5,1.6,0.932,0.4,2,2.4,3.4,0.8,0.2,1.3,7.8,8.8
1642450,175,Daniss Jenkins,1610612765,DET,23,16.5,2.9,6.5,0.44,0.8,2.3,0.346,1.2,1.5,0.771,0.7,1.3,1.9,3,0.9,0,1.3,7.7,8.2
1631126,176,Caleb Love,1610612757,POR,20,17,2.9,8.6,0.333,1.3,5,0.26,0.6,0.8,0.8,0.6,1.7,2.3,2,0.5,0,0.8,7.6,5.7
1630543,177,Isaiah Jackson,1610612754,IND,28,18.8,3,5.1,0.585,0,0,0,1.6,2.2,0.742,2.6,3.5,6.1,0.9,0.8,0.8,1.1,7.6,12.3
1628436,178,Luke Kornet,1610612759,SAS,19,24.9,2.8,4.5,0.624,0,0,0,1.9,2.4,0.822,2.9,3.5,6.4,2.1,0.4,1.4,0.6,7.5,15.1
203083,179,Andre Drummond,1610612755,PHI,26,21.9,2.9,5.5,0.528,0.6,1.4,0.417,1,1.7,0.614,3.5,6.1,9.6,1,0.6,1,0.8,7.5,15.6
1630173,180,Precious Achiuwa,1610612758,SAC,21,19.5,3.1,6,0.528,0.2,0.8,0.235,0.9,1.9,0.487,1.9,3.4,5.3,0.9,0.7,0.4,0.4,7.4,10.5
1631246,181,Vince Williams Jr.,1610612763,MEM,22,21.9,2.5,7.5,0.337,1.2,4.3,0.277,1.1,1.4,0.8,0.8,3.4,4.2,4.9,0.8,0.5,2.1,7.4,10.5
1641775,182,Jordan Walsh,1610612738,BOS,24,21,2.8,4.7,0.584,0.8,1.9,0.444,1,1.1,0.852,1.6,3.5,5,1,1.2,0.6,0.7,7.3,12.3
1642346,183,Ryan Dunn,1610612756,PHX,23,22.6,2.9,6.4,0.453,0.8,2.6,0.305,0.6,0.9,0.7,1.7,3,4.8,1.9,1.3,0.6,1.1,7.2,10.9
1629006,184,Josh Okogie,1610612745,HOU,25,21.8,2.5,5.2,0.477,1.2,2.7,0.426,1.1,1.5,0.73,1.4,1.6,3,1,1.3,0.2,0.8,7.2,8.8
1628379,185,Luke Kennard,1610612737,ATL,26,20.5,2.5,5.1,0.485,1.4,3.2,0.439,0.9,1,0.92,0.5,1.5,1.9,2.2,0.8,0,1,7.2,8.5
1630172,186,Patrick Williams,1610612741,CHI,26,20.2,2.4,6.3,0.384,1.4,3.5,0.411,0.8,1.3,0.636,0.8,2.3,3.1,1.2,0.8,0.3,1,7.1,7.2
1630549,187,Day'Ron Sharpe,1610612751,BKN,25,16,2.6,4.3,0.593,0.2,0.8,0.25,1.6,2.6,0.631,2.1,3.4,5.5,2,0.9,0.5,1.7,7,11.4
1628971,188,Bruce Brown,1610612743,DEN,27,24.3,2.6,6.1,0.433,0.5,1.6,0.318,1.1,1.4,0.816,1.1,3,4.1,2,0.9,0.3,1,6.9,9.6
1630175,189,Cole Anthony,1610612749,MIL,25,16,2.9,6.9,0.424,0.6,2,0.275,0.5,0.9,0.591,0.4,2.3,2.7,4,0.7,0.3,2,6.9,8.3
1630573,190,Sam Hauser,1610612738,BOS,28,22,2.4,6.6,0.359,2.1,5.8,0.36,0.1,0.1,0.75,0.6,2.9,3.5,1.4,0.6,0.3,0.6,6.9,7.8
1642883,191,Sion James,1610612766,CHA,28,26.1,2.2,5.3,0.409,1.3,3.3,0.376,1.2,1.4,0.85,0.4,2.9,3.3,1.5,0.7,0.5,0.9,6.8,8.5
1641774,192,Tristan Vukcevic,1610612764,WAS,22,11.7,2.3,4.9,0.467,0.4,1.9,0.214,1.9,2.3,0.804,0.5,1.9,2.4,1,0.3,0.5,1.1,6.8,6.8
